Name,GameName,TagLine,Twitch,Total,OnStream,OffStream,Unknown,PctTotal,Result
KITSURAVT,Duchess of Deer,yuri,kitsuravt,345,212,133,0,61.45%,PASS
SABS,Sabs,rose,sabs,204,104,100,0,50.98%,PASS
SHIPHTUR,Shiphtur,chap,shiphtur,197,116,81,0,58.88%,PASS
JEYRAIDENT,Jeyraident,6969,jeyraident,157,115,42,0,73.25%,PASS
XANDERZUBU,myloadis,crked,xanderzubu,170,88,82,0,51.76%,PASS
CHIBIMIHARU,ChibiMiharu,0405,chibimiharu,191,111,80,0,58.12%,PASS
VOYIX64,voyix,NA1,voyix64,101,57,44,0,56.44%,PASS
KARIYU,Kariyu,2889,kariyu,221,99,122,0,44.80%,FAIL
ROHANGOD,rohan,god,rohangod,233,67,166,0,28.76%,FAIL
SCRAPIE,Scrapie,god,scrapie,76,16,60,0,21.05%,FAIL
MYRDINTV,Myrdin,NA1,myrdintv,131,90,41,0,68.70%,PASS
DARGIE1,Dargie1,111,dargie1,191,116,75,0,60.73%,PASS
YUWUKINE,yukine,owo,yuwukine,184,104,80,0,56.52%,PASS
SICKDEGENERATE,DoctorDinoNinja,TTV,sickdegenerate,139,139,0,0,100.00%,PASS
NEBOKERU,Nebokeru,NA1,nebokeru,249,105,144,0,42.17%,FAIL
NYXIE,Nyxiena,NYX,nyxie,123,37,86,0,30.08%,FAIL
ROYCHIATO,roychiato,3917,roychiato,227,63,164,0,27.75%,FAIL
YOONAHKORN,Yoonahkorn,NA1,yoonahkorn,203,100,103,0,49.26%,FAIL
BTWBLUE,btwblue,0420,btwblue,113,88,25,0,77.88%,PASS
HAPPYKOOW,madge,koow,happykoow,217,58,159,0,26.73%,FAIL
ICONJT,IconJT,0000,iconjt,216,13,203,0,6.02%,FAIL
SHUGIISHUGII,shugii,storm,shugiishugii,178,73,105,0,41.01%,FAIL
GAMERGIRL,taco,12369,gamergirl,143,40,103,0,27.97%,FAIL
MIKKILOL,Millilol,NA1,mikkilol,171,135,36,0,78.95%,PASS
BUNNYCOMB,bunny,comb,bunnycomb,65,24,41,0,36.92%,FAIL
TRICIAISABIRDY,Triciaisabirdy,NA2,triciaisabirdy,165,123,42,0,74.55%,PASS
DEWCHEE,lychee,mon,dewchee,164,57,107,0,34.76%,FAIL
OHGAWDKATE,Ohgawdkate,dev,ohgawdkate,239,77,162,0,32.22%,FAIL
NATESOJU,NateSoju,TTV,natesoju,94,60,34,0,63.83%,PASS
TRELLIRELLI,Trellirelli,NA1,trellirelli,105,79,26,0,75.24%,PASS
